Date,Modality,FirstImageTime,ImagesPerSecond
2021-11-24 08:16:41,CR,0.16,26.52
2021-11-24 08:16:46,CR,0.17,26.56
2021-11-24 08:16:51,CR,0.21,21.09
2021-11-24 08:17:38,CT,0.2,912.01
2021-11-24 08:17:41,Failed,Failed,Failed
2021-11-24 08:17:43,CR,0.17,25.18
2021-11-24 08:17:50,CT,0.12,619.34
2021-11-24 08:19:36,Failed,Failed,Failed
2021-11-24 08:19:57,CT,0.17,691.15
2021-11-24 08:20:01,CR,0.32,11.42
2021-11-24 08:20:01,Failed,Failed,Failed
2021-11-24 08:20:05,CR,0.26,15.13
2021-11-24 08:20:06,Failed,Failed,Failed
2021-11-24 08:20:10,CR,0.15,26.54
2021-11-24 08:20:15,CR,0.16,30.6
2021-11-24 08:20:20,CR,0.29,10.56
2021-11-24 08:20:25,CR,0.15,29.72
2021-11-24 08:20:30,CR,0.18,30.64
2021-11-24 08:20:35,MR,0.22,394.93
2021-11-24 08:20:40,CR,0.2,24.82
2021-11-24 08:20:46,US,0.18,250.78
2021-11-24 08:20:52,CT,0.16,479.76
2021-11-24 08:20:55,CR,0.17,21.99
2021-11-24 08:21:00,CR,0.15,27.16
2021-11-24 08:21:05,CR,0.17,18.49
2021-11-24 08:21:10,Failed,Failed,Failed
2021-11-24 08:21:11,MR,0.15,468.89
2021-11-24 08:21:15,MR,0.13,263.93
2021-11-24 08:21:20,CR,0.16,24.2
2021-11-24 08:21:25,CR,0.15,26.71
2021-11-24 08:21:25,CR,0.28,14.48
2021-11-24 08:21:30,CR,0.27,14.04
2021-11-24 08:21:30,MR,0.13,839.6
2021-11-24 08:21:31,Failed,Failed,Failed
2021-11-24 08:21:35,CR,0.15,29.1
2021-11-24 08:21:36,MR,0.2,288.45
2021-11-24 08:21:39,CR,0.15,25.68
2021-11-24 08:21:41,CT,0.32,490.84
2021-11-24 08:21:45,CR,0.15,26.96
2021-11-24 08:21:45,CR,0.17,28.33
2021-11-24 08:21:49,CT,0.12,179.23
2021-11-24 08:21:50,CR,0.26,18.84
2021-11-24 08:21:55,CR,0.15,29.55
2021-11-24 08:21:57,US,0.29,90.95
2021-11-24 08:22:00,Failed,Failed,Failed
2021-11-24 08:22:00,CR,0.28,18.37
2021-11-24 08:22:00,Failed,Failed,Failed
2021-11-24 08:22:04,CR,0.15,29.16
2021-11-24 08:22:06,MR,0.13,549.44
2021-11-24 08:22:11,US,0.17,162.98
2021-11-24 08:22:17,CT,0.12,603.28
2021-11-24 08:22:20,CT,0.16,788.08
2021-11-24 08:22:20,CR,0.15,28.28
2021-11-24 08:22:21,Failed,Failed,Failed
2021-11-24 08:22:25,CR,0.16,24.96
2021-11-24 08:22:26,Failed,Failed,Failed
2021-11-24 08:22:27,CT,0.18,644.25
2021-11-24 08:22:31,CR,0.22,29.2
2021-11-24 08:22:34,CT,0.2,359.41
2021-11-24 08:22:35,CR,0.27,12.37
2021-11-24 08:22:39,Failed,Failed,Failed
2021-11-24 08:22:40,CR,0.28,10.25
2021-11-24 08:22:44,CR,0.16,28.2
2021-11-24 08:22:45,CR,0.15,25.74
2021-11-24 08:22:49,CR,0.17,22.54
2021-11-24 08:22:50,CR,0.16,24.87
2021-11-24 08:22:51,CR,0.27,14.56
2021-11-24 08:22:56,CR,0.28,14.67
2021-11-24 08:22:57,CT,0.33,328.82
2021-11-24 08:22:59,CR,0.17,29.65
2021-11-24 08:23:01,CR,0.16,27.96
2021-11-24 08:23:04,CR,0.27,12.32
2021-11-24 08:23:06,US,0.17,128.54
2021-11-24 08:23:10,CR,0.27,16.88
2021-11-24 08:23:10,CT,0.16,436.59
2021-11-24 08:23:11,US,0.11,74.18
2021-11-24 08:23:14,CR,0.15,26.79
2021-11-24 08:23:16,CR,0.26,15.8
2021-11-24 08:23:19,CR,0.15,29.17
2021-11-24 08:23:21,CR,0.26,12.93
2021-11-24 08:23:24,CR,0.15,30.03
2021-11-24 08:23:25,CR,0.15,29.97
2021-11-24 08:23:28,CR,0.17,27.39
2021-11-24 08:23:31,Failed,Failed,Failed
2021-11-24 08:23:32,US,0.35,164.79
2021-11-24 08:23:35,CR,0.19,28.22
2021-11-24 08:23:41,US,0.15,291.58
2021-11-24 08:23:44,CR,0.15,24.73
2021-11-24 08:23:45,CR,0.15,29.85
2021-11-24 08:23:49,US,0.15,285.72
2021-11-24 08:23:51,CR,0.28,10.64
2021-11-24 08:23:51,Failed,Failed,Failed
2021-11-24 08:23:55,CR,0.26,18.43
2021-11-24 08:23:56,US,0.16,141.33
2021-11-24 08:24:00,CR,0.17,17.59
2021-11-24 08:24:00,CR,0.37,27.48
2021-11-24 08:24:01,US,0.16,176.72
2021-11-24 08:24:01,Failed,Failed,Failed
2021-11-24 08:24:04,Failed,Failed,Failed
2021-11-24 08:24:05,CR,0.29,13.22
2021-11-24 08:24:06,MR,0.28,409.63
2021-11-24 08:24:10,US,0.14,152.0
2021-11-24 08:24:10,CT,0.33,407.19
2021-11-24 08:24:10,CR,0.15,28.66
2021-11-24 08:24:10,CR,0.15,31.01
2021-11-24 08:24:11,Failed,Failed,Failed
2021-11-24 08:24:13,US,0.17,85.31
2021-11-24 08:24:15,CR,0.21,14.69
2021-11-24 08:24:15,MR,0.33,198.52
2021-11-24 08:24:16,CR,0.32,11.78
2021-11-24 08:24:20,CR,0.15,28.86
2021-11-24 08:24:20,CR,0.15,30.16
2021-11-24 08:24:21,Failed,Failed,Failed
2021-11-24 08:24:24,CT,0.19,701.3
2021-11-24 08:24:25,CT,0.13,708.08
2021-11-24 08:24:25,Failed,Failed,Failed
2021-11-24 08:24:25,Failed,Failed,Failed
2021-11-24 08:24:26,CR,0.18,17.68
2021-11-24 08:24:28,CR,0.15,25.15
2021-11-24 08:24:30,CR,0.15,16.22
2021-11-24 08:24:34,MR,0.5,1164.37
2021-11-24 08:24:35,CR,0.15,28.5
2021-11-24 08:24:36,US,0.19,135.34
2021-11-24 08:24:39,MR,0.27,712.38
2021-11-24 08:24:40,CR,0.16,27.43
2021-11-24 08:24:41,CR,0.15,16.72
2021-11-24 08:24:43,CT,0.17,554.24
2021-11-24 08:24:45,CR,0.15,29.38
2021-11-24 08:24:46,US,0.16,168.94
