Date,Modality,FirstImageTime,ImagesPerSecond,headers were loaded,Total headers load time is[seconds],First header load time is[seconds],header per second [with first header],header per second [without first header],Load completed for request,images were loaded,Total load time is[seconds],Total Pixel data load time is[seconds],First image time is[seconds],images per second [with first image],images per second [without first image],Headers transfer rate[kilobytes per second],Headers total bytes[kilobytes],Pixel data transfer rate[kilobytes per second],Pixel data total bytes[kilobytes],Total of[kilobytes per second],Total bytes[kilobytes],Number of images ,delete completed for request
2021-11-24 08:16:41,CR,0.16,26.52,2.0,0.0980654,0.0880166,20.394553,99.51437,1234.0,2.0,0.234729,0.136664,0.169359,8.520453,15.29756,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1524629504.0
2021-11-24 08:16:46,CR,0.17,26.56,2.0,0.102134,0.0921479,19.582194,100.143205,1234.0,2.0,0.245003,0.142869,0.179693,8.163165,15.311497,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-2122579968.0
2021-11-24 08:16:51,CR,0.21,21.09,2.0,0.153931,0.131107,12.992851,43.813338,1234.0,2.0,0.308679,0.154748,0.236693,6.479221,13.891532,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,117702656.0
2021-11-24 08:17:38,CT,0.2,912.01,120.0,0.11189,0.0997948,1072.484777,9838.8577,1234.0,120.0,0.327153,0.215263,0.20767,366.800743,995.960085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,240.0,839385088.0
2021-11-24 08:17:41,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:17:43,CR,0.17,25.18,2.0,0.0998989,0.0897191,20.02024,98.233757,1234.0,2.0,0.253661,0.153762,0.184406,7.884542,14.439495,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1660157952.0
2021-11-24 08:17:50,CT,0.12,619.34,1186.0,0.185887,0.0928111,6380.209944,12731.503865,1234.0,1186.0,2.03347,1.84758,0.211619,583.240405,650.438527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2372.0,-2012741632.0
2021-11-24 08:19:36,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:19:57,CT,0.17,691.15,1030.0,0.171774,0.0904397,5996.26136,12651.535643,1234.0,1030.0,1.66364,1.49186,0.2547,619.126004,730.338406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2060.0,-2047082496.0
2021-11-24 08:20:01,CR,0.32,11.42,2.0,0.255194,0.170575,7.837166,11.817663,1234.0,2.0,0.49636,0.241166,0.405851,4.029334,11.048613,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1945370624.0
2021-11-24 08:20:01,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:20:05,CR,0.26,15.13,2.0,0.161617,0.125658,12.374943,27.809527,1234.0,2.0,0.391272,0.229655,0.295034,5.111538,10.39096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2142765056.0
2021-11-24 08:20:06,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:20:10,CR,0.15,26.54,2.0,0.0941339,0.0848932,21.246331,108.21691,1234.0,2.0,0.228993,0.134859,0.162871,8.733903,15.123537,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1550843904.0
2021-11-24 08:20:15,CR,0.16,30.6,2.0,0.0922744,0.0890592,21.674484,311.022642,1234.0,2.0,0.221821,0.129547,0.159681,9.016263,16.092694,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1943011328.0
2021-11-24 08:20:20,CR,0.29,10.56,2.0,0.134611,0.127833,14.857627,147.531793,1234.0,2.0,0.475522,0.340911,0.292876,4.205906,5.475093,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1707868160.0
2021-11-24 08:20:25,CR,0.15,29.72,2.0,0.0907902,0.0880678,22.028809,367.32295,1234.0,2.0,0.219211,0.128421,0.154642,9.123626,15.487212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1929641984.0
2021-11-24 08:20:30,CR,0.18,30.64,2.0,0.0913948,0.0884582,21.883083,340.529864,1234.0,2.0,0.242816,0.151421,0.180471,8.236706,16.039933,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1869086720.0
2021-11-24 08:20:35,MR,0.22,394.93,56.0,0.10218,0.0925851,548.052993,5732.271647,1234.0,56.0,0.365304,0.263124,0.2331,153.296896,416.023406,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,112.0,1098121216.0
2021-11-24 08:20:40,CR,0.2,24.82,2.0,0.0989442,0.088571,20.213413,96.402267,1234.0,2.0,0.276434,0.177489,0.206237,7.235011,14.245664,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,370409472.0
2021-11-24 08:20:46,US,0.18,250.78,35.0,0.0993992,0.0893663,352.11551,3388.850681,1234.0,260.0,1.21496,1.11557,0.188225,213.998005,252.25493,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,295.0,587202560.0
2021-11-24 08:20:52,CT,0.16,479.76,871.0,0.158722,0.0892386,5487.578604,12520.958213,1234.0,871.0,1.97859,1.81986,0.232581,440.213342,498.280389,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1742.0,1138229248.0
2021-11-24 08:20:55,CR,0.17,21.99,2.0,0.0948145,0.0850503,21.09382,102.414944,1234.0,2.0,0.256298,0.161484,0.175112,7.803416,12.317379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-2031091712.0
2021-11-24 08:21:00,CR,0.15,27.16,2.0,0.0946664,0.084857,21.12682,101.943034,1234.0,2.0,0.227542,0.132876,0.163717,8.789582,15.667866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1861746688.0
2021-11-24 08:21:05,CR,0.17,18.49,2.0,0.144174,0.102125,13.872098,23.781778,1234.0,2.0,0.280438,0.136263,0.214326,7.131706,15.125939,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1631059968.0
2021-11-24 08:21:10,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:21:11,MR,0.15,468.89,267.0,0.112393,0.0886548,2375.588559,11205.472989,1234.0,267.0,0.721247,0.608854,0.175561,370.19213,487.459821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,534.0,1564213248.0
2021-11-24 08:21:15,MR,0.13,263.93,79.0,0.0984956,0.0915969,802.066285,11306.478032,1234.0,79.0,0.431705,0.33321,0.13928,182.995248,266.734604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,158.0,1863843840.0
2021-11-24 08:21:20,CR,0.16,24.2,2.0,0.0989649,0.0879621,20.209185,90.885956,1234.0,2.0,0.240213,0.141248,0.168581,8.325934,13.960124,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,866123776.0
2021-11-24 08:21:25,CR,0.15,26.71,2.0,0.0850599,0.0824519,23.512842,383.435583,1234.0,2.0,0.227068,0.142009,0.154802,8.807919,13.837632,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,657195008.0
2021-11-24 08:21:25,CR,0.28,14.48,2.0,0.154232,0.128229,12.967452,38.456214,1234.0,2.0,0.419359,0.265127,0.307221,4.769185,8.917584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,2075918336.0
2021-11-24 08:21:30,CR,0.27,14.04,2.0,0.15352,0.131006,13.027585,44.416807,1234.0,2.0,0.410001,0.25648,0.290051,4.878039,8.336786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1896349696.0
2021-11-24 08:21:30,MR,0.13,839.6,20.0,0.0902933,0.0875533,221.500377,6934.306569,1234.0,20.0,0.151097,0.0608041,0.130016,132.364951,901.268417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,504365056.0
2021-11-24 08:21:31,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
2021-11-24 08:21:35,CR,0.15,29.1,2.0,0.0901119,0.0874026,22.194627,369.099029,1234.0,2.0,0.22321,0.133098,0.157197,8.960188,15.148715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,1177550848.0
2021-11-24 08:21:36,MR,0.2,288.45,590.0,0.191115,0.139857,3087.144867,11490.866809,1234.0,590.0,2.24944,2.05832,0.255275,262.287701,295.361999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1180.0,908066816.0
