number              data
9              0000000000001001
10             0000000000001010
23             0000000000010111
66             0000000001000010
55             0000000000110111
33             0000000000100001
11             0000000000001011
53             0000000000110101
22             0000000000010110
19             0000000000010011
6              0000000000000110
5              0000000000000101
25             0000000000011001
6              0000000000000110
5              0000000000000101
1              0000000000000001
