number        full          empty                 data_out              test_result
0              1              0              0000000000000000              ok             
1              0              0              0000000000001001              ok             
2              0              0              0000000000001010              ok             
3              0              0              0000000000010111              ok             
4              0              0              0000000001000010              ok             
5              0              0              0000000000110111              ok             
6              0              0              0000000000100001              ok             
7              0              0              0000000000001011              ok             
8              0              0              0000000000110101              ok             
9              0              0              0000000000010110              ok             
10             0              0              0000000000010011              ok             
11             0              0              0000000000000110              ok             
12             0              0              0000000000000101              ok             
13             0              0              0000000000011001              ok             
14             0              0              0000000000000110              ok             
15             0              0              0000000000000101              ok             
16             0              1              0000000000000001              ok             
